reason	woo_id	wa_code	source_sku	name
not_imported	59138		1792113	Tommy HIlfiger Watch For Men 1792113
not_imported	59141		1792114	Tommy HIlfiger Watch For Men 1792114
not_imported	59145		1792186	Tommy HIlfiger Watch For Men 1792186
not_imported	59152		1792112	Tommy Hilfiger Blue Watch for Men 1792112
not_imported	59157		1792111	Tommy HIlfiger Watch For Men 1792111
not_imported	59175		MK4721	Michael Kors Watch for Women MK4721
not_imported	59363		1710588	Tommy Hilfigr Watch For Men 1710569
not_imported	59366		1710569	Tommy Hilfigr Watch For Men 1710588
not_imported	59392		1792008	Tommy HIlfiger Watch For Men 1792008
not_imported	59395		1791968	Tommy HIlfiger Watch For Men 1791968
not_imported	59398		1792059	Tommy HIlfiger Watch For Men 1792059
unexplained	59434	BF-59434	1514217	Hugo Boss Watch For Men 1514217
not_imported	59530		RO001	Rolex Watch For Men RO001
not_imported	59540		RO002	Rolex Watch For Men RO002
not_imported	59543		RO003	Rolex Watch For Men RO003
not_imported	59545		RO004	Rolex Watch For Men RO004
not_imported	59547		RO005	Rolex Watch For Men RO005
not_imported	59549		RO006	Rolex Watch For Men RO006
not_imported	59551		RO007	Rolex Watch For Men RO007
not_imported	59553		RO008	Rolex Watch For Men RO008
not_imported	59555		RO009	Rolex Watch For Men RO009
not_imported	63579		AW0AW16510	Tommy Hilfiger Black Women Shoulder Bag Aw0Aw16510 – Elegant Everyday 
not_imported	63601		Hwesg951320	Guess Black Women Shoulder Bag Hwesg951320 – Elegant Everyday Shoulder
not_imported	64326		Aw0Aw16002	Tommy Hilfiger Black Leather Women Handbag Aw0Aw16002– Elegant Everyda
not_imported	64529		Aw0Aw14499	Tommy Hilfiger Beige Leather Women Handbag Aw0Aw14499 – Elegant Everyd
